Element Number	Element Type	Nodes	
1	Tet4	901	1404	1557	1241	
2	Tet4	368	901	1557	764	
3	Tet4	368	1557	756	764	
4	Tet4	368	1557	901	756	
5	Tet4	578	764	1557	1241	
6	Tet4	756	901	1404	1557	
7	Tet4	578	756	1557	764	
8	Tet4	578	1404	1557	756	
9	Tet4	371	1556	1238	768	
10	Tet4	371	1313	1238	1556	
11	Tet4	371	1024	1556	620	
12	Tet4	371	1556	768	620	
13	Tet4	768	1238	905	1556	
14	Tet4	905	1238	1313	1556	
15	Tet4	371	1313	1556	1024	
16	Tet4	620	1250	1024	1556	
17	Tet4	905	1556	1313	1024	
18	Tet4	905	1556	1024	1250	
19	Tet4	768	1556	905	1250	
20	Tet4	1326	1429	1555	1547	
21	Tet4	980	1555	1326	1429	
22	Tet4	366	1326	980	1555	
23	Tet4	1286	1555	1429	1547	
24	Tet4	980	1286	1555	1429	
25	Tet4	812	980	1555	1540	
26	Tet4	812	1555	980	1286	
27	Tet4	812	1555	1286	1544	
28	Tet4	812	1540	1555	1544	
29	Tet4	366	1555	753	1547	
30	Tet4	366	753	1555	1540	
31	Tet4	753	1286	1555	1544	
32	Tet4	753	1555	1540	1544	
33	Tet4	775	1416	1301	1076	
34	Tet4	687	954	1376	1076	
35	Tet4	323	1076	775	687	
36	Tet4	366	1326	1227	980	
37	Tet4	282	874	1351	947	
38	Tet4	282	1351	874	985	
39	Tet4	576	1258	916	906	
40	Tet4	260	894	780	1225	
41	Tet4	260	1346	979	438	
42	Tet4	260	1225	979	1204	
43	Tet4	757	858	1239	1030	
44	Tet4	217	757	766	1239	
45	Tet4	371	1031	1238	1313	
46	Tet4	438	993	899	1205	
47	Tet4	698	1282	960	734	
48	Tet4	283	391	572	1528	
49	Tet4	244	566	1145	355	
50	Tet4	252	515	984	807	
51	Tet4	347	1477	442	1252	
52	Tet4	557	876	1096	1064	
53	Tet4	692	1247	788	713	
54	Tet4	284	1036	646	883	
55	Tet4	423	654	1146	831	
56	Tet4	529	686	711	1224	
57	Tet4	399	1459	503	841	
58	Tet4	324	1433	1260	987	
59	Tet4	421	822	697	631	
60	Tet4	562	1090	951	1323	
61	Tet4	385	1268	1040	542	
62	Tet4	3	1372	1468	427	
63	Tet4	283	1014	391	1528	
64	Tet4	351	1370	904	1329	
65	Tet4	608	1213	865	1174	
66	Tet4	312	974	467	500	
67	Tet4	243	778	523	819	
68	Tet4	362	1194	561	586	
69	Tet4	247	711	962	529	
70	Tet4	603	1453	1515	1343	
71	Tet4	253	1499	333	1141	
72	Tet4	691	1017	711	769	
73	Tet4	420	688	1398	1248	
74	Tet4	170	1440	212	794	
75	Tet4	106	717	1449	107	
76	Tet4	236	1098	583	937	
77	Tet4	60	109	1115	108	
78	Tet4	497	1448	1101	973	
79	Tet4	413	1305	582	1511	
80	Tet4	74	95	1124	94	
81	Tet4	347	1517	1477	1252	
82	Tet4	721	1125	886	1167	
83	Tet4	281	452	885	1276	
84	Tet4	182	431	1284	628	
85	Tet4	188	468	189	193	
86	Tet4	361	1290	517	1074	
87	Tet4	627	849	1014	728	
88	Tet4	526	1486	978	1485	
89	Tet4	266	501	1086	308	
90	Tet4	236	1088	863	553	
91	Tet4	635	821	1232	919	
92	Tet4	603	1515	1248	1132	
93	Tet4	509	768	1032	764	
94	Tet4	432	1090	1364	1150	
95	Tet4	166	1200	312	167	
96	Tet4	646	1294	1289	1002	
97	Tet4	253	943	309	680	
98	Tet4	423	990	1135	1146	
99	Tet4	125	151	343	126	
100	Tet4	331	1440	1063	1311	
101	Tet4	299	1365	397	1411	
102	Tet4	650	1489	913	681	
103	Tet4	490	843	923	1061	
104	Tet4	388	1445	1536	1130	
105	Tet4	607	840	927	1222	
106	Tet4	241	796	576	1044	
107	Tet4	355	1148	929	602	
108	Tet4	262	1034	839	949	
109	Tet4	358	716	1083	600	
110	Tet4	427	1008	1372	1468	
111	Tet4	233	716	460	1147	
112	Tet4	320	735	933	338	
113	Tet4	284	1036	883	1250	
114	Tet4	420	1398	1132	1248	
115	Tet4	128	1265	148	149	
116	Tet4	398	1257	1164	1457	
117	Tet4	501	1086	1191	1432	
118	Tet4	387	1355	1318	724	
119	Tet4	265	785	952	575	
120	Tet4	389	538	571	1156	
121	Tet4	526	1515	1343	603	
122	Tet4	233	716	1209	531	
123	Tet4	595	1243	984	807	
124	Tet4	667	1083	895	1208	
125	Tet4	449	546	981	1331	
126	Tet4	247	571	538	939	
127	Tet4	455	1154	823	925	
128	Tet4	291	1155	1096	956	
129	Tet4	217	1103	890	1335	
130	Tet4	709	731	725	1113	
131	Tet4	233	842	477	805	
132	Tet4	377	788	692	1247	
133	Tet4	311	877	725	1464	
134	Tet4	247	399	962	1459	
135	Tet4	422	1501	1502	589	
136	Tet4	437	856	1230	1293	
137	Tet4	390	936	1110	1371	
138	Tet4	222	336	1066	758	
139	Tet4	333	496	678	1141	
140	Tet4	512	684	1134	1206	
141	Tet4	575	1167	886	1015	
142	Tet4	476	1428	514	1158	
143	Tet4	420	1398	827	1132	
144	Tet4	454	493	1450	1519	
145	Tet4	431	1471	1112	1284	
146	Tet4	443	1334	999	483	
147	Tet4	455	823	498	925	
148	Tet4	228	1144	1077	653	
149	Tet4	163	1422	1058	781	
150	Tet4	336	1392	995	586	
151	Tet4	218	763	1211	445	
152	Tet4	538	939	571	1156	
153	Tet4	47	638	1134	1041	
154	Tet4	113	164	781	163	
155	Tet4	280	876	1096	557	
156	Tet4	317	445	1221	704	
157	Tet4	517	742	1074	924	
