Node Number	X Location (m)	Y Location (m)	Z Location (m)	
145	-1.e-003	5.e-005	-4.8148e-004	
146	-1.e-003	5.e-005	-4.0741e-004	
147	-1.e-003	5.e-005	-3.3333e-004	
148	-1.e-003	5.e-005	-2.5926e-004	
149	-1.e-003	5.e-005	-1.8519e-004	
150	-1.e-003	5.e-005	-1.1111e-004	
151	-1.e-003	5.e-005	-3.7037e-005	
152	-1.e-003	5.e-005	3.7037e-005	
153	-1.e-003	5.e-005	1.1111e-004	
154	-1.e-003	5.e-005	1.8519e-004	
155	-1.e-003	5.e-005	2.5926e-004	
156	-1.e-003	5.e-005	3.3333e-004	
157	-1.e-003	5.e-005	4.0741e-004	
158	-1.e-003	5.e-005	4.8148e-004	
159	-1.e-003	5.e-005	5.5556e-004	
160	-1.e-003	5.e-005	6.2963e-004	
161	-1.e-003	5.e-005	7.037e-004	
162	-1.e-003	5.e-005	7.7778e-004	
163	-1.e-003	5.e-005	8.5185e-004	
164	-1.e-003	5.e-005	9.2593e-004	
165	-9.2593e-004	0.	-1.e-003	
166	-8.5185e-004	0.	-1.e-003	
167	-7.7778e-004	0.	-1.e-003	
168	-7.037e-004	0.	-1.e-003	
169	-6.2963e-004	0.	-1.e-003	
170	-5.5556e-004	0.	-1.e-003	
171	-4.8148e-004	0.	-1.e-003	
172	-4.0741e-004	0.	-1.e-003	
173	-3.3333e-004	0.	-1.e-003	
174	-2.5926e-004	0.	-1.e-003	
175	-1.8519e-004	0.	-1.e-003	
176	-1.1111e-004	0.	-1.e-003	
177	-3.7037e-005	0.	-1.e-003	
178	3.7037e-005	0.	-1.e-003	
179	1.1111e-004	0.	-1.e-003	
180	1.8519e-004	0.	-1.e-003	
181	2.5926e-004	0.	-1.e-003	
182	3.3333e-004	0.	-1.e-003	
183	4.0741e-004	0.	-1.e-003	
184	4.8148e-004	0.	-1.e-003	
185	5.5556e-004	0.	-1.e-003	
186	6.2963e-004	0.	-1.e-003	
187	7.037e-004	0.	-1.e-003	
188	7.7778e-004	0.	-1.e-003	
189	8.5185e-004	0.	-1.e-003	
190	9.2593e-004	0.	-1.e-003	
191	9.2593e-004	5.e-005	-1.e-003	
192	8.5185e-004	5.e-005	-1.e-003	
193	7.7778e-004	5.e-005	-1.e-003	
194	7.037e-004	5.e-005	-1.e-003	
195	6.2963e-004	5.e-005	-1.e-003	
196	5.5556e-004	5.e-005	-1.e-003	
197	4.8148e-004	5.e-005	-1.e-003	
198	4.0741e-004	5.e-005	-1.e-003	
199	3.3333e-004	5.e-005	-1.e-003	
200	2.5926e-004	5.e-005	-1.e-003	
201	1.8519e-004	5.e-005	-1.e-003	
202	1.1111e-004	5.e-005	-1.e-003	
203	3.7037e-005	5.e-005	-1.e-003	
204	-3.7037e-005	5.e-005	-1.e-003	
205	-1.1111e-004	5.e-005	-1.e-003	
206	-1.8519e-004	5.e-005	-1.e-003	
207	-2.5926e-004	5.e-005	-1.e-003	
208	-3.3333e-004	5.e-005	-1.e-003	
209	-4.0741e-004	5.e-005	-1.e-003	
210	-4.8148e-004	5.e-005	-1.e-003	
211	-5.5556e-004	5.e-005	-1.e-003	
212	-6.2963e-004	5.e-005	-1.e-003	
213	-7.037e-004	5.e-005	-1.e-003	
214	-7.7778e-004	5.e-005	-1.e-003	
215	-8.5185e-004	5.e-005	-1.e-003	
216	-9.2593e-004	5.e-005	-1.e-003	
217	-4.9933e-006	0.	2.2553e-005	
218	1.9042e-004	0.	-4.8714e-004	
219	-1.9756e-004	0.	-4.5736e-004	
220	5.0005e-004	0.	2.2159e-004	
221	-5.0598e-004	0.	2.2601e-004	
222	-5.9867e-005	0.	5.1311e-004	
223	-6.2038e-004	0.	-3.4155e-004	
224	5.7452e-004	0.	-3.4729e-004	
225	3.9652e-004	0.	7.3877e-004	
226	-5.9006e-004	0.	7.3642e-004	
227	2.9828e-004	0.	-1.448e-004	
228	-3.0102e-004	0.	-1.4627e-004	
229	-5.3054e-004	0.	-6.5552e-004	
230	6.8929e-004	0.	6.3632e-004	
231	2.2222e-004	0.	3.7037e-004	
232	-3.165e-004	0.	6.4758e-004	
233	6.0146e-005	0.	-7.3642e-004	
234	5.4283e-004	0.	-6.1738e-005	
235	-5.3865e-004	0.	-4.4758e-005	
236	-7.5455e-004	0.	3.6366e-004	
237	-9.4752e-005	0.	-2.4446e-004	
238	-2.8239e-004	0.	3.7221e-004	
239	7.4586e-004	0.	3.3462e-004	
240	4.4301e-004	0.	4.8192e-004	
241	2.7091e-004	0.	1.0762e-004	
242	-2.3193e-004	0.	-7.7677e-004	
243	-2.8049e-004	0.	1.0932e-004	
244	-5.3691e-004	0.	4.9245e-004	
